"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"טסט זה בודק שהמשתמש יכול להתנתק דרך התפריט הצדדי ושנמנעת ממנו גישה לדף המלאי לאחר מכן","1049","בדיקת יציאה מהמערכת וחזרה לדף הלוגין","tests","Sat Mar 21 21:07:15 UTC 2026","passed","Sat Mar 21 21:07:16 UTC 2026","TestLogout","test_logout","",""
"","2130","מיון מהמחיר הנמוך לגבוה","tests","Sat Mar 21 21:07:07 UTC 2026","passed","Sat Mar 21 21:07:09 UTC 2026","TestInventory","test_choose_from_list","",""
"בדיקה שלילית - הזנת פרטים שגויים ואימות הודעת שגיאה","109","בדיקה שלילית: אימות הודעת שגיאה בהתחברות","tests","Sat Mar 21 21:07:14 UTC 2026","passed","Sat Mar 21 21:07:15 UTC 2026","TestLogin","test_login","",""
"","2133","מיון אלפביתי הפוך (Z to A)","tests","Sat Mar 21 21:07:12 UTC 2026","passed","Sat Mar 21 21:07:14 UTC 2026","TestInventory","test_choose_from_list","",""
"","157","בדיקת API - שליפת פוסטים","tests","Sat Mar 21 21:06:53 UTC 2026","passed","Sat Mar 21 21:06:53 UTC 2026","TestAPI","test_api","",""
"טסט זה מוודא את הליבה של האתר: כניסת משתמש, בחירת מוצר ספציפי ווידוא שהמוצר מופיע בעגלת הקניות","2238","בדיקת זרימה מלאה: התחברות, הוספה לסל ומעבר לעגלה","tests","Sat Mar 21 21:06:50 UTC 2026","passed","Sat Mar 21 21:06:52 UTC 2026","TestE2E","test_E2E","",""
"","29","בדיקת API - יצירת פוסט חדש (POST)","tests","Sat Mar 21 21:06:53 UTC 2026","passed","Sat Mar 21 21:06:53 UTC 2026","TestAPI","test_api","",""
"","6285","בדיקת הוספת 3 מוצרים שונים לעגלה","tests","Sat Mar 21 21:07:00 UTC 2026","passed","Sat Mar 21 21:07:06 UTC 2026","TestInventory","test_choose_from_list","",""
"","2174","בדיקת הוספת מעיל (Fleece Jacket) לעגלה","tests","Sat Mar 21 21:06:53 UTC 2026","passed","Sat Mar 21 21:06:55 UTC 2026","TestInventory","test_choose_from_list","",""
"","148","בדיקת גלילה בדף המוצרים","tests","Sat Mar 21 21:07:06 UTC 2026","passed","Sat Mar 21 21:07:07 UTC 2026","TestInventory","test_choose_from_list","",""
"","2134","מיון מהמחיר הגבוה לנמוך","tests","Sat Mar 21 21:07:09 UTC 2026","passed","Sat Mar 21 21:07:11 UTC 2026","TestInventory","test_choose_from_list","",""
"","4243","הוספה ומחיקה של מוצר מהעגלה","tests","Sat Mar 21 21:06:55 UTC 2026","passed","Sat Mar 21 21:07:00 UTC 2026","TestInventory","test_choose_from_list","",""
"התחברות לאתר עם יוזר תקין מקובץ קונפיג","140","בדיקת התחברות לאתר","tests","Sat Mar 21 21:07:14 UTC 2026","passed","Sat Mar 21 21:07:14 UTC 2026","TestLogin","test_login","",""
