"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2190","בדיקת הוספת מעיל (Fleece Jacket) לעגלה","tests","Sun Mar 22 06:15:45 UTC 2026","passed","Sun Mar 22 06:15:47 UTC 2026","TestInventory","test_choose_from_list","",""
"","2115","מיון מהמחיר הנמוך לגבוה","tests","Sun Mar 22 06:15:49 UTC 2026","passed","Sun Mar 22 06:15:52 UTC 2026","TestInventory","test_choose_from_list","",""
"","2117","מיון מהמחיר הגבוה לנמוך","tests","Sun Mar 22 06:15:52 UTC 2026","passed","Sun Mar 22 06:15:54 UTC 2026","TestInventory","test_choose_from_list","",""
"","100","בדיקת API - שליפת פוסטים","tests","Sun Mar 22 06:15:45 UTC 2026","passed","Sun Mar 22 06:15:45 UTC 2026","TestAPI","test_api","",""
"","132","בדיקת גלילה בדף המוצרים","tests","Sun Mar 22 06:15:49 UTC 2026","passed","Sun Mar 22 06:15:49 UTC 2026","TestInventory","test_choose_from_list","",""
"לוודא שהעגלה ריקה לאחר התחברות לאתר","144","בדיקת עגלה ריקה לאחר לוגין","tests","Sun Mar 22 06:15:59 UTC 2026","passed","Sun Mar 22 06:15:59 UTC 2026","TestSauceUI","test_ui","",""
"","98","בדיקת הוספת 3 מוצרים שונים לעגלה","tests","Sun Mar 22 06:15:48 UTC 2026","broken","Sun Mar 22 06:15:48 UTC 2026","TestInventory","test_choose_from_list","",""
"טסט זה מוודא את הליבה של האתר: כניסת משתמש, בחירת מוצר ספציפי ווידוא שהמוצר מופיע בעגלת הקניות","119","בדיקת זרימה מלאה: התחברות, הוספה לסל ומעבר לעגלה","tests","Sun Mar 22 06:15:44 UTC 2026","broken","Sun Mar 22 06:15:44 UTC 2026","TestE2E","test_E2E","",""
"","41","בדיקת API - יצירת פוסט חדש (POST)","tests","Sun Mar 22 06:15:45 UTC 2026","passed","Sun Mar 22 06:15:45 UTC 2026","TestAPI","test_api","",""
"בדיקה שלילית - הזנת פרטים שגויים ואימות הודעת שגיאה","82","בדיקה שלילית: אימות הודעת שגיאה בהתחברות","tests","Sun Mar 22 06:15:57 UTC 2026","passed","Sun Mar 22 06:15:57 UTC 2026","TestLogin","test_login","",""
"טסט זה בודק שהמשתמש יכול להתנתק דרך התפריט הצדדי ושנמנעת ממנו גישה לדף המלאי לאחר מכן","1062","בדיקת יציאה מהמערכת וחזרה לדף הלוגין","tests","Sun Mar 22 06:15:58 UTC 2026","passed","Sun Mar 22 06:15:59 UTC 2026","TestLogout","test_logout","",""
"התחברות לאתר עם יוזר תקין מקובץ קונפיג","104","בדיקת התחברות לאתר","tests","Sun Mar 22 06:15:57 UTC 2026","passed","Sun Mar 22 06:15:57 UTC 2026","TestLogin","test_login","",""
"","2214","בדיקת כפתור המשך קניות מהעגלה","tests","Sun Mar 22 06:16:00 UTC 2026","passed","Sun Mar 22 06:16:02 UTC 2026","TestSauceUI","test_ui","",""
"","102","הוספה ומחיקה של מוצר מהעגלה","tests","Sun Mar 22 06:15:48 UTC 2026","broken","Sun Mar 22 06:15:48 UTC 2026","TestInventory","test_choose_from_list","",""
"","2156","מיון אלפביתי הפוך (Z to A)","tests","Sun Mar 22 06:15:54 UTC 2026","passed","Sun Mar 22 06:15:57 UTC 2026","TestInventory","test_choose_from_list","",""
