"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"התחברות לאתר עם יוזר תקין מקובץ קונפיג","107","בדיקת התחברות לאתר","tests","Sun Mar 22 06:23:38 UTC 2026","passed","Sun Mar 22 06:23:38 UTC 2026","TestLogin","test_login","",""
"","153","בדיקת API - שליפת פוסטים","tests","Sun Mar 22 06:23:15 UTC 2026","passed","Sun Mar 22 06:23:15 UTC 2026","TestAPI","test_api","",""
"","4240","הוספה ומחיקה של מוצר מהעגלה","tests","Sun Mar 22 06:23:19 UTC 2026","passed","Sun Mar 22 06:23:23 UTC 2026","TestInventory","test_choose_from_list","",""
"","111","בדיקת גלילה בדף המוצרים","tests","Sun Mar 22 06:23:30 UTC 2026","passed","Sun Mar 22 06:23:30 UTC 2026","TestInventory","test_choose_from_list","",""
"","2120","מיון מהמחיר הנמוך לגבוה","tests","Sun Mar 22 06:23:30 UTC 2026","passed","Sun Mar 22 06:23:32 UTC 2026","TestInventory","test_choose_from_list","",""
"לוודא שהעגלה ריקה לאחר התחברות לאתר","148","בדיקת עגלה ריקה לאחר לוגין","tests","Sun Mar 22 06:23:40 UTC 2026","passed","Sun Mar 22 06:23:40 UTC 2026","TestSauceUI","test_ui","",""
"","2255","בדיקת כפתור המשך קניות מהעגלה","tests","Sun Mar 22 06:23:41 UTC 2026","passed","Sun Mar 22 06:23:43 UTC 2026","TestSauceUI","test_ui","",""
"","6254","בדיקת הוספת 3 מוצרים שונים לעגלה","tests","Sun Mar 22 06:23:23 UTC 2026","passed","Sun Mar 22 06:23:29 UTC 2026","TestInventory","test_choose_from_list","",""
"בדיקה שלילית - הזנת פרטים שגויים ואימות הודעת שגיאה","96","בדיקה שלילית: אימות הודעת שגיאה בהתחברות","tests","Sun Mar 22 06:23:38 UTC 2026","passed","Sun Mar 22 06:23:38 UTC 2026","TestLogin","test_login","",""
"","2124","מיון אלפביתי הפוך (Z to A)","tests","Sun Mar 22 06:23:35 UTC 2026","passed","Sun Mar 22 06:23:37 UTC 2026","TestInventory","test_choose_from_list","",""
"","2191","בדיקת הוספת מעיל (Fleece Jacket) לעגלה","tests","Sun Mar 22 06:23:16 UTC 2026","passed","Sun Mar 22 06:23:18 UTC 2026","TestInventory","test_choose_from_list","",""
"","128","בדיקת API - יצירת פוסט חדש (POST)","tests","Sun Mar 22 06:23:16 UTC 2026","passed","Sun Mar 22 06:23:16 UTC 2026","TestAPI","test_api","",""
"טסט זה מוודא את הליבה של האתר: כניסת משתמש, בחירת מוצר ספציפי ווידוא שהמוצר מופיע בעגלת הקניות","2238","בדיקת זרימה מלאה: התחברות, הוספה לסל ומעבר לעגלה","tests","Sun Mar 22 06:23:13 UTC 2026","passed","Sun Mar 22 06:23:15 UTC 2026","TestE2E","test_E2E","",""
"","2114","מיון מהמחיר הגבוה לנמוך","tests","Sun Mar 22 06:23:33 UTC 2026","passed","Sun Mar 22 06:23:35 UTC 2026","TestInventory","test_choose_from_list","",""
"טסט זה בודק שהמשתמש יכול להתנתק דרך התפריט הצדדי ושנמנעת ממנו גישה לדף המלאי לאחר מכן","1074","בדיקת יציאה מהמערכת וחזרה לדף הלוגין","tests","Sun Mar 22 06:23:39 UTC 2026","passed","Sun Mar 22 06:23:40 UTC 2026","TestLogout","test_logout","",""
