"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","156","בדיקת API - שליפת פוסטים","tests","Sun Mar 22 07:05:26 UTC 2026","passed","Sun Mar 22 07:05:26 UTC 2026","TestAPI","test_api","",""
"","25","בדיקת API - יצירת פוסט חדש (POST)","tests","Sun Mar 22 07:05:26 UTC 2026","passed","Sun Mar 22 07:05:26 UTC 2026","TestAPI","test_api","",""
"","185","בדיקת התאמת מחיר מוצר בין דף הבית לדף הפירוט","tests","Sun Mar 22 07:05:53 UTC 2026","passed","Sun Mar 22 07:05:53 UTC 2026","TestSauceUI","test_ui","",""
"","6283","בדיקת הוספת 3 מוצרים שונים לעגלה","tests","Sun Mar 22 07:05:34 UTC 2026","passed","Sun Mar 22 07:05:40 UTC 2026","TestInventory","test_choose_from_list","",""
"","2220","בדיקת הוספת מעיל (Fleece Jacket) לעגלה","tests","Sun Mar 22 07:05:27 UTC 2026","passed","Sun Mar 22 07:05:29 UTC 2026","TestInventory","test_choose_from_list","",""
"","2155","מיון אלפביתי הפוך (Z to A)","tests","Sun Mar 22 07:05:45 UTC 2026","passed","Sun Mar 22 07:05:48 UTC 2026","TestInventory","test_choose_from_list","",""
"לוודא שהעגלה ריקה לאחר התחברות לאתר","177","בדיקת עגלה ריקה לאחר לוגין","tests","Sun Mar 22 07:05:50 UTC 2026","passed","Sun Mar 22 07:05:50 UTC 2026","TestSauceUI","test_ui","",""
"","150","בדיקת גלילה בדף המוצרים","tests","Sun Mar 22 07:05:40 UTC 2026","passed","Sun Mar 22 07:05:40 UTC 2026","TestInventory","test_choose_from_list","",""
"התחברות לאתר עם יוזר תקין מקובץ קונפיג","130","בדיקת התחברות לאתר","tests","Sun Mar 22 07:05:48 UTC 2026","passed","Sun Mar 22 07:05:48 UTC 2026","TestLogin","test_login","",""
"","2148","מיון מהמחיר הגבוה לנמוך","tests","Sun Mar 22 07:05:43 UTC 2026","passed","Sun Mar 22 07:05:45 UTC 2026","TestInventory","test_choose_from_list","",""
"טסט זה בודק שהמשתמש יכול להתנתק דרך התפריט הצדדי ושנמנעת ממנו גישה לדף המלאי לאחר מכן","1075","בדיקת יציאה מהמערכת וחזרה לדף הלוגין","tests","Sun Mar 22 07:05:49 UTC 2026","passed","Sun Mar 22 07:05:50 UTC 2026","TestLogout","test_logout","",""
"","2223","בדיקת כפתור המשך קניות מהעגלה","tests","Sun Mar 22 07:05:50 UTC 2026","passed","Sun Mar 22 07:05:53 UTC 2026","TestSauceUI","test_ui","",""
"בדיקה שלילית - הזנת פרטים שגויים ואימות הודעת שגיאה","101","בדיקה שלילית: אימות הודעת שגיאה בהתחברות","tests","Sun Mar 22 07:05:48 UTC 2026","passed","Sun Mar 22 07:05:48 UTC 2026","TestLogin","test_login","",""
"","2149","מיון מהמחיר הנמוך לגבוה","tests","Sun Mar 22 07:05:41 UTC 2026","passed","Sun Mar 22 07:05:43 UTC 2026","TestInventory","test_choose_from_list","",""
"","4242","הוספה ומחיקה של מוצר מהעגלה","tests","Sun Mar 22 07:05:29 UTC 2026","passed","Sun Mar 22 07:05:33 UTC 2026","TestInventory","test_choose_from_list","",""
"טסט זה מוודא את הליבה של האתר: כניסת משתמש, בחירת מוצר ספציפי ווידוא שהמוצר מופיע בעגלת הקניות","2249","בדיקת זרימה מלאה: התחברות, הוספה לסל ומעבר לעגלה","tests","Sun Mar 22 07:05:24 UTC 2026","passed","Sun Mar 22 07:05:26 UTC 2026","TestE2E","test_E2E","",""
