"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6255","בדיקת הוספת 3 מוצרים שונים לעגלה","tests","Sun Mar 22 07:15:45 UTC 2026","passed","Sun Mar 22 07:15:51 UTC 2026","TestInventory","test_choose_from_list","",""
"","2196","בדיקת הוספת מעיל (Fleece Jacket) לעגלה","tests","Sun Mar 22 07:15:38 UTC 2026","passed","Sun Mar 22 07:15:40 UTC 2026","TestInventory","test_choose_from_list","",""
"לוודא שהעגלה ריקה לאחר התחברות לאתר","183","בדיקת עגלה ריקה לאחר לוגין","tests","Sun Mar 22 07:16:01 UTC 2026","passed","Sun Mar 22 07:16:01 UTC 2026","TestSauceUI","test_ui","",""
"","115","בדיקת API - שליפת פוסטים","tests","Sun Mar 22 07:15:37 UTC 2026","passed","Sun Mar 22 07:15:37 UTC 2026","TestAPI","test_api","",""
"","2116","מיון מהמחיר הנמוך לגבוה","tests","Sun Mar 22 07:15:52 UTC 2026","passed","Sun Mar 22 07:15:54 UTC 2026","TestInventory","test_choose_from_list","",""
"","2274","בדיקת שגיאה כשחסרים פרטי משתמש בצ'ק-אאוט","tests","Sun Mar 22 07:16:05 UTC 2026","passed","Sun Mar 22 07:16:07 UTC 2026","TestSauceUI","test_ui","",""
"","2122","מיון מהמחיר הגבוה לנמוך","tests","Sun Mar 22 07:15:54 UTC 2026","passed","Sun Mar 22 07:15:56 UTC 2026","TestInventory","test_choose_from_list","",""
"","2146","מיון אלפביתי הפוך (Z to A)","tests","Sun Mar 22 07:15:57 UTC 2026","passed","Sun Mar 22 07:15:59 UTC 2026","TestInventory","test_choose_from_list","",""
"","2226","בדיקת כפתור המשך קניות מהעגלה","tests","Sun Mar 22 07:16:02 UTC 2026","passed","Sun Mar 22 07:16:04 UTC 2026","TestSauceUI","test_ui","",""
"","174","בדיקת התאמת מחיר מוצר בין דף הבית לדף הפירוט","tests","Sun Mar 22 07:16:04 UTC 2026","passed","Sun Mar 22 07:16:04 UTC 2026","TestSauceUI","test_ui","",""
"","4243","הוספה ומחיקה של מוצר מהעגלה","tests","Sun Mar 22 07:15:40 UTC 2026","passed","Sun Mar 22 07:15:44 UTC 2026","TestInventory","test_choose_from_list","",""
"התחברות לאתר עם יוזר תקין מקובץ קונפיג","124","בדיקת התחברות לאתר","tests","Sun Mar 22 07:15:59 UTC 2026","passed","Sun Mar 22 07:15:59 UTC 2026","TestLogin","test_login","",""
"בדיקה שלילית - הזנת פרטים שגויים ואימות הודעת שגיאה","98","בדיקה שלילית: אימות הודעת שגיאה בהתחברות","tests","Sun Mar 22 07:15:59 UTC 2026","passed","Sun Mar 22 07:16:00 UTC 2026","TestLogin","test_login","",""
"","91","בדיקת API - יצירת פוסט חדש (POST)","tests","Sun Mar 22 07:15:37 UTC 2026","passed","Sun Mar 22 07:15:37 UTC 2026","TestAPI","test_api","",""
"טסט זה מוודא את הליבה של האתר: כניסת משתמש, בחירת מוצר ספציפי ווידוא שהמוצר מופיע בעגלת הקניות","2218","בדיקת זרימה מלאה: התחברות, הוספה לסל ומעבר לעגלה","tests","Sun Mar 22 07:15:35 UTC 2026","passed","Sun Mar 22 07:15:37 UTC 2026","TestE2E","test_E2E","",""
"טסט זה בודק שהמשתמש יכול להתנתק דרך התפריט הצדדי ושנמנעת ממנו גישה לדף המלאי לאחר מכן","1071","בדיקת יציאה מהמערכת וחזרה לדף הלוגין","tests","Sun Mar 22 07:16:00 UTC 2026","passed","Sun Mar 22 07:16:01 UTC 2026","TestLogout","test_logout","",""
"","136","בדיקת גלילה בדף המוצרים","tests","Sun Mar 22 07:15:51 UTC 2026","passed","Sun Mar 22 07:15:51 UTC 2026","TestInventory","test_choose_from_list","",""
