"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2147","מיון אלפביתי הפוך (Z to A)","tests","Sat Mar 21 21:55:02 UTC 2026","passed","Sat Mar 21 21:55:04 UTC 2026","TestInventory","test_choose_from_list","",""
"","2134","מיון מהמחיר הגבוה לנמוך","tests","Sat Mar 21 21:55:00 UTC 2026","passed","Sat Mar 21 21:55:02 UTC 2026","TestInventory","test_choose_from_list","",""
"","28","בדיקת API - יצירת פוסט חדש (POST)","tests","Sat Mar 21 21:54:43 UTC 2026","passed","Sat Mar 21 21:54:43 UTC 2026","TestAPI","test_api","",""
"בדיקה שלילית - הזנת פרטים שגויים ואימות הודעת שגיאה","111","בדיקה שלילית: אימות הודעת שגיאה בהתחברות","tests","Sat Mar 21 21:55:05 UTC 2026","passed","Sat Mar 21 21:55:05 UTC 2026","TestLogin","test_login","",""
"","127","בדיקת גלילה בדף המוצרים","tests","Sat Mar 21 21:54:57 UTC 2026","passed","Sat Mar 21 21:54:57 UTC 2026","TestInventory","test_choose_from_list","",""
"התחברות לאתר עם יוזר תקין מקובץ קונפיג","131","בדיקת התחברות לאתר","tests","Sat Mar 21 21:55:04 UTC 2026","passed","Sat Mar 21 21:55:04 UTC 2026","TestLogin","test_login","",""
"","132","בדיקת API - שליפת פוסטים","tests","Sat Mar 21 21:54:43 UTC 2026","passed","Sat Mar 21 21:54:43 UTC 2026","TestAPI","test_api","",""
"טסט זה בודק שהמשתמש יכול להתנתק דרך התפריט הצדדי ושנמנעת ממנו גישה לדף המלאי לאחר מכן","1066","בדיקת יציאה מהמערכת וחזרה לדף הלוגין","tests","Sat Mar 21 21:55:05 UTC 2026","passed","Sat Mar 21 21:55:06 UTC 2026","TestLogout","test_logout","",""
"","2173","בדיקת הוספת מעיל (Fleece Jacket) לעגלה","tests","Sat Mar 21 21:54:44 UTC 2026","passed","Sat Mar 21 21:54:46 UTC 2026","TestInventory","test_choose_from_list","",""
"","6236","בדיקת הוספת 3 מוצרים שונים לעגלה","tests","Sat Mar 21 21:54:50 UTC 2026","passed","Sat Mar 21 21:54:57 UTC 2026","TestInventory","test_choose_from_list","",""
"טסט זה מוודא את הליבה של האתר: כניסת משתמש, בחירת מוצר ספציפי ווידוא שהמוצר מופיע בעגלת הקניות","2216","בדיקת זרימה מלאה: התחברות, הוספה לסל ומעבר לעגלה","tests","Sat Mar 21 21:54:41 UTC 2026","passed","Sat Mar 21 21:54:43 UTC 2026","TestE2E","test_E2E","",""
"לוודא שהעגלה ריקה לאחר התחברות לאתר","127","בדיקת עגלה ריקה לאחר לוגין","tests","Sat Mar 21 21:55:06 UTC 2026","broken","Sat Mar 21 21:55:06 UTC 2026","TestSauceUI","test_ui","",""
"","4225","הוספה ומחיקה של מוצר מהעגלה","tests","Sat Mar 21 21:54:46 UTC 2026","passed","Sat Mar 21 21:54:50 UTC 2026","TestInventory","test_choose_from_list","",""
"","2137","מיון מהמחיר הנמוך לגבוה","tests","Sat Mar 21 21:54:57 UTC 2026","passed","Sat Mar 21 21:54:59 UTC 2026","TestInventory","test_choose_from_list","",""
"","1","בדיקת כפתור המשך קניות מהעגלה","tests","Sat Mar 21 21:55:07 UTC 2026","broken","Sat Mar 21 21:55:07 UTC 2026","TestSauceUI","test_ui","",""
